Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,400.589996,405.760010,400.420013,401.690002,401.690002,217955900
2021-01-05,400.839996,402.779999,399.350006,400.940002,400.940002,184265400
2021-01-06,402.079987,407.299988,400.500000,406.410004,406.410004,286015700
2021-01-07,408.089996,409.390015,406.459991,408.489990,408.489990,235099200
2021-01-08,410.019989,411.920013,410.019989,411.170013,411.170013,216734600
2021-01-11,410.410004,410.970001,406.450012,408.410004,408.410004,182564200
2021-01-12,409.170013,410.109985,407.339996,408.609985,408.609985,190728100
2021-01-13,408.809998,409.739990,407.940002,409.070007,409.070007,181754200
2021-01-14,409.709991,412.459991,409.709991,412.000000,412.000000,194332300
2021-01-15,411.190002,411.190002,405.420013,407.850006,407.850006,218522300
2021-01-18,407.019989,408.750000,406.390015,408.679993,408.679993,125093100
2021-01-19,410.149994,410.859985,407.570007,407.920013,407.920013,172615800
2021-01-20,408.640015,411.929993,408.619995,410.839996,410.839996,172622400
2021-01-21,412.450012,413.980011,410.790009,410.890015,410.890015,172924500
2021-01-22,409.880005,409.880005,405.739990,408.540009,408.540009,191471800
2021-01-25,410.179993,410.859985,403.899994,405.130005,405.130005,211863100
2021-01-26,404.750000,409.760010,404.750000,407.700012,407.700012,197861100
2021-01-27,407.630005,408.320007,399.239990,402.980011,402.980011,266840400
2021-01-28,400.859985,404.480011,394.399994,403.390015,403.390015,257028400
2021-01-29,401.209991,401.209991,395.850006,395.850006,395.850006,244280700
2021-02-01,397.079987,401.859985,397.079987,400.769989,400.769989,184282100
2021-02-02,402.260010,406.429993,402.260010,405.920013,405.920013,202266300
2021-02-03,407.640015,410.130005,406.440002,407.269989,407.269989,229680300
2021-02-04,407.070007,409.809998,406.920013,409.540009,409.540009,243164200
2021-02-05,410.079987,411.589996,408.459991,409.540009,409.540009,253713200
2021-02-08,410.160004,412.290009,410.160004,410.779999,410.779999,219967600
2021-02-09,411.010010,411.119995,408.899994,410.420013,410.420013,161511100
2021-02-10,411.209991,411.920013,407.480011,409.470001,409.470001,210429000
2021-02-11,409.970001,411.559998,409.519989,411.350006,411.350006,174139200
2021-02-12,411.119995,414.000000,409.250000,414.000000,414.000000,157254700
2021-02-15,415.820007,420.140015,415.820007,419.470001,419.470001,194861500
2021-02-16,419.880005,420.570007,418.709991,419.200012,419.200012,184545200
2021-02-17,418.640015,418.640015,415.559998,416.100006,416.100006,193909300
2021-02-18,415.869995,417.260010,411.869995,412.700012,412.700012,202089900
2021-02-19,413.070007,415.720001,412.269989,414.880005,414.880005,227841300
2021-02-22,413.809998,413.809998,409.549988,413.059998,413.059998,207706500
2021-02-23,413.179993,414.500000,406.679993,411.320007,411.320007,273441700
2021-02-24,410.959991,413.700012,410.619995,413.209991,413.209991,294350000
2021-02-25,414.079987,415.380005,411.730011,411.730011,411.730011,260384600
2021-02-26,408.980011,410.640015,404.040009,404.989990,404.989990,299832700
2021-03-01,408.250000,412.760010,408.250000,412.440002,412.440002,193935100
2021-03-02,412.059998,415.369995,411.329987,413.230011,413.230011,185747900
2021-03-03,413.799988,416.690002,410.549988,413.420013,413.420013,242882900
2021-03-04,411.709991,412.839996,409.029999,411.910004,411.910004,233110700
2021-03-05,410.619995,413.190002,407.140015,408.679993,408.679993,257580800
2021-03-08,410.230011,417.619995,410.230011,417.250000,417.250000,258755200
2021-03-09,417.339996,421.049988,416.190002,420.410004,420.410004,258435900
2021-03-10,419.959991,422.709991,418.660004,422.109985,422.109985,226418400
2021-03-11,422.679993,424.230011,422.549988,424.170013,424.170013,231054000
2021-03-12,423.429993,423.429993,421.679993,423.079987,423.079987,198579500
2021-03-15,423.970001,426.130005,421.950012,423.079987,423.079987,194016900
2021-03-16,424.079987,426.959991,424.079987,426.820007,426.820007,2219700
2021-03-17,426.579987,426.980011,424.119995,424.910004,424.910004,2177300
2021-03-18,425.410004,427.260010,424.790009,426.589996,426.589996,244183300
2021-03-19,424.950012,426.019989,421.399994,423.350006,423.350006,509089700
2021-03-22,422.529999,424.359985,420.730011,424.170013,424.170013,205450500
2021-03-23,423.399994,424.339996,420.940002,423.309998,423.309998,222826700
2021-03-24,421.950012,423.690002,420.359985,423.390015,423.390015,207476500
2021-03-25,422.380005,423.570007,419.049988,423.079987,423.079987,197372000
2021-03-26,424.190002,427.209991,424.190002,426.929993,426.929993,199100800
2021-03-29,427.230011,428.739990,426.579987,427.609985,427.609985,176527000
2021-03-30,428.140015,431.079987,428.140015,430.649994,430.649994,186096200
2021-03-31,430.850006,431.760010,429.600006,429.600006,429.600006,218633900
2021-04-01,429.609985,432.649994,429.609985,432.220001,432.220001,162078600
2021-04-06,433.290009,436.470001,433.290009,435.260010,435.260010,204328000
2021-04-07,434.570007,435.630005,433.690002,434.320007,434.320007,171946800
2021-04-08,434.880005,436.880005,434.880005,436.859985,436.859985,200252600
2021-04-09,436.670013,437.649994,436.100006,437.230011,437.230011,164371900
2021-04-12,437.010010,437.040009,435.010010,435.239990,435.239990,153272900
2021-04-13,435.450012,436.589996,434.200012,435.750000,435.750000,161892300
2021-04-14,436.279999,437.149994,435.730011,436.570007,436.570007,156288900
2021-04-15,436.660004,439.130005,436.660004,438.549988,438.549988,162548400
2021-04-16,438.290009,442.510010,438.290009,442.489990,442.489990,198487300
2021-04-19,442.440002,443.609985,441.529999,442.179993,442.179993,149749300
2021-04-20,441.200012,441.570007,433.350006,433.799988,433.799988,210250300
2021-04-21,434.209991,437.269989,433.750000,436.640015,436.640015,179060100
2021-04-22,437.239990,439.809998,437.239990,439.630005,439.630005,170160500
2021-04-23,439.200012,439.600006,436.570007,439.040009,439.040009,148579500
2021-04-26,439.320007,440.750000,438.500000,440.200012,440.200012,145926700
2021-04-27,440.279999,440.480011,438.660004,439.850006,439.850006,167388500
2021-04-28,439.660004,441.019989,438.679993,439.920013,439.920013,206103700
2021-04-29,440.640015,442.660004,437.850006,438.769989,438.769989,204026700
2021-04-30,438.779999,439.839996,437.179993,437.390015,437.390015,213001100
2021-05-03,437.869995,439.980011,436.839996,439.920013,439.920013,85153500
2021-05-04,440.600006,441.709991,433.170013,433.649994,433.649994,232148600
2021-05-05,435.209991,441.600006,435.209991,441.549988,441.549988,189957600
2021-05-06,441.230011,443.049988,438.649994,441.019989,441.019989,228481600
2021-05-07,441.859985,444.929993,441.859985,444.929993,444.929993,183455500
2021-05-10,445.709991,446.190002,444.380005,445.390015,445.390015,201181100
2021-05-11,444.429993,444.429993,434.019989,436.609985,436.609985,234853100
2021-05-12,436.809998,439.459991,436.320007,437.929993,437.929993,203670700
2021-05-14,438.579987,442.559998,438.170013,442.529999,442.529999,195564100
2021-05-17,443.019989,444.250000,440.399994,442.290009,442.290009,161061800
2021-05-18,443.399994,446.010010,442.250000,443.040009,443.040009,186093600
2021-05-19,441.010010,441.010010,432.630005,436.339996,436.339996,197844300
2021-05-20,437.140015,441.899994,436.070007,441.899994,441.899994,169989900
2021-05-21,442.399994,445.290009,441.670013,444.440002,444.440002,200850100
2021-05-25,445.489990,447.149994,445.200012,445.200012,445.200012,168438300
2021-05-26,445.470001,446.799988,444.040009,445.220001,445.220001,169169100
2021-05-27,445.100006,447.859985,444.589996,446.440002,446.440002,359790500
2021-05-28,446.980011,450.070007,446.980011,448.980011,448.980011,186878300
2021-05-31,448.829987,449.079987,446.709991,446.760010,446.760010,63502600
2021-06-01,447.579987,452.500000,447.579987,450.100006,450.100006,174741600
2021-06-02,450.209991,451.970001,450.170013,451.339996,451.339996,146828600
2021-06-03,451.450012,451.450012,447.820007,450.790009,450.790009,154427400
2021-06-04,451.170013,452.709991,450.450012,452.570007,452.570007,129793700
2021-06-07,452.390015,454.309998,450.709991,453.559998,453.559998,187051400
2021-06-08,453.619995,455.660004,453.429993,454.010010,454.010010,158647500
2021-06-09,454.209991,454.679993,452.820007,454.440002,454.440002,139842500
2021-06-10,454.730011,455.760010,452.700012,454.559998,454.559998,154358300
2021-06-11,455.079987,457.869995,454.980011,457.510010,457.510010,131960400
2021-06-14,458.130005,460.510010,457.609985,458.320007,458.320007,138754900
2021-06-15,458.929993,460.309998,458.809998,458.809998,458.809998,173990000
2021-06-16,459.160004,460.450012,458.660004,459.859985,459.859985,175040700
2021-06-17,458.869995,459.929993,457.649994,459.329987,459.329987,186055100
2021-06-18,458.709991,459.619995,451.769989,452.049988,452.049988,408712000
2021-06-21,450.869995,455.369995,448.399994,455.230011,455.230011,188357800
