Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,73.029999,73.400002,71.290001,71.699997,68.206619,9133000
2021-01-05,71.580002,73.510002,71.580002,73.309998,69.738167,13406000
2021-01-06,74.099998,76.849998,74.019997,76.309998,72.592010,24260700
2021-01-07,76.769997,77.389999,76.599998,76.879997,73.134232,9288900
2021-01-08,77.019997,77.089996,75.559998,76.510002,72.782272,8494200
2021-01-11,75.379997,76.820000,75.099998,76.510002,72.782272,6120100
2021-01-12,76.440002,77.769997,76.190002,77.480003,73.705002,8922900
2021-01-13,77.400002,77.580002,76.370003,76.690002,72.953506,4904600
2021-01-14,76.940002,77.010002,76.339996,76.430000,72.706161,5537000
2021-01-15,75.720001,75.860001,74.550003,75.339996,71.669266,9854500
2021-01-19,75.949997,76.150002,75.279999,75.599998,71.916603,4956200
2021-01-20,75.970001,76.080002,75.529999,75.849998,72.154419,5163300
2021-01-21,75.760002,75.910004,74.709999,74.739998,71.098495,6323300
2021-01-22,73.900002,74.680000,73.779999,74.379997,70.756027,6065900
2021-01-25,74.080002,74.290001,72.690002,73.989998,70.385040,12074700
2021-01-26,74.449997,74.730003,72.949997,72.970001,69.414742,6777400
2021-01-27,71.849998,71.849998,70.010002,70.820000,67.369499,12389500
2021-01-28,71.529999,72.489998,71.339996,72.040001,68.530045,7241700
2021-01-29,71.739998,72.110001,70.279999,70.639999,67.198265,8989900
2021-02-01,71.370003,71.599998,70.320000,71.470001,67.987816,8006000
2021-02-02,72.000000,72.769997,71.599998,72.410004,68.882019,7894600
2021-02-03,72.610001,72.980003,72.279999,72.550003,69.015205,6423100
2021-02-04,72.339996,72.680000,71.669998,72.290001,68.767868,6497100
2021-02-05,72.989998,73.629997,72.839996,73.529999,69.947441,6287800
2021-02-08,74.160004,74.400002,73.949997,74.139999,70.527740,6317800
2021-02-09,74.180000,74.239998,73.410004,73.589996,70.004517,7257000
2021-02-10,74.070000,74.150002,73.040001,73.510002,69.928429,5458700
2021-02-11,73.730003,74.000000,72.949997,73.580002,69.995018,6673000
2021-02-12,73.419998,74.379997,73.320000,74.339996,70.717979,3287900
2021-02-16,74.620003,74.870003,74.089996,74.199997,70.584793,6192900
2021-02-17,73.989998,74.300003,73.199997,74.160004,70.546761,5910600
2021-02-18,73.970001,74.050003,73.360001,73.699997,70.109177,6058800
2021-02-19,74.120003,75.379997,74.099998,75.050003,71.393394,5680400
2021-02-22,74.959999,75.650002,74.709999,75.339996,71.669266,6099300
2021-02-23,75.300003,75.800003,73.959999,75.599998,71.916603,11012200
2021-02-24,75.639999,76.580002,75.360001,76.260002,72.544449,7381700
2021-02-25,76.110001,76.239998,74.199997,74.500000,70.870186,10187700
2021-02-26,74.309998,74.540001,73.070000,73.550003,69.966476,8140100
2021-03-01,74.519997,75.809998,74.519997,75.410004,71.735855,7508000
2021-03-02,75.629997,76.519997,75.580002,75.830002,72.135399,7564600
2021-03-03,75.550003,76.089996,75.070000,75.080002,71.421944,8670200
2021-03-04,74.959999,75.260002,72.339996,73.620003,70.033066,18517400
2021-03-05,74.379997,75.559998,72.820000,75.309998,71.640724,11756500
2021-03-08,75.559998,77.459999,75.430000,76.320000,72.601517,14836500
2021-03-09,76.830002,77.410004,76.269997,76.790001,73.048607,7866300
